size,horizon,delta,algorithm,trial,objective,risk,time_s,n,iterations,complete,constrained_pomdp_commit,raostar_commit
5,3,0.1,DARP-HILP,15,8.932312499999998,0.08976562500000002,0.053795123007148504,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,15,9.749686328125,0.08926781233710164,0.08093440299853683,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,16,8.932312499999998,0.08976562500000002,0.05122589995153248,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,16,9.749686328125,0.08926781233710164,0.0987687559099868,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,17,8.932312499999998,0.08976562500000002,0.05244349199347198,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,17,9.749686328125,0.08926781233710164,0.07770806702319533,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,18,8.932312499999998,0.08976562500000002,0.051281838095746934,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,18,9.749686328125,0.08926781233710164,0.0773624760331586,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,19,8.932312499999998,0.08976562500000002,0.05100991204380989,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,19,9.749686328125,0.08926781233710164,0.08112143003381789,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,20,8.932312499999998,0.08976562500000002,0.05217513896059245,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,20,9.749686328125,0.08926781233710164,0.07752117200288922,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,21,8.932312499999998,0.08976562500000002,0.050716195022687316,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,21,9.749686328125,0.08926781233710164,0.07928376400377601,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,22,8.932312499999998,0.08976562500000002,0.050405885092914104,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,22,9.749686328125,0.08926781233710164,0.07887212000787258,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,23,8.932312499999998,0.08976562500000002,0.05023412709124386,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,23,9.749686328125,0.08926781233710164,0.07870077504776418,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,24,8.932312499999998,0.08976562500000002,0.05119630799163133,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,24,9.749686328125,0.08926781233710164,0.07908486505039036,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,DARP-HILP,25,8.932312499999998,0.08976562500000002,0.05058092309627682,268,12,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.1,RAO*,25,9.749686328125,0.08926781233710164,0.07915700401645154,337,40,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,1,8.155624999999999,0.144375,0.03918058495037258,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,1,8.241031249999999,0.18432793332202302,0.028672628104686737,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,2,8.155624999999999,0.144375,0.03910301090218127,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,2,8.241031249999999,0.18432793332202302,0.027743143029510975,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,3,8.155624999999999,0.144375,0.050266660982742906,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,3,8.241031249999999,0.18432793332202302,0.040472752996720374,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,4,8.155624999999999,0.144375,0.054556465009227395,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,4,8.241031249999999,0.18432793332202302,0.03297222300898284,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,5,8.155624999999999,0.144375,0.04041303298436105,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,5,8.241031249999999,0.18432793332202302,0.02789750404190272,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,6,8.155624999999999,0.144375,0.04026502009946853,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,6,8.241031249999999,0.18432793332202302,0.029839648981578648,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,7,8.155624999999999,0.144375,0.041738833067938685,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,7,8.241031249999999,0.18432793332202302,0.02927063696552068,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,8,8.155624999999999,0.144375,0.03929071803577244,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,8,8.241031249999999,0.18432793332202302,0.027938761981204152,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,9,8.155624999999999,0.144375,0.041324802092276514,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,9,8.241031249999999,0.18432793332202302,0.028845536056905985,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,10,8.155624999999999,0.144375,0.040345528977923095,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,10,8.241031249999999,0.18432793332202302,0.02738402900286019,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,11,8.155624999999999,0.144375,0.04198238509707153,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,11,8.241031249999999,0.18432793332202302,0.028914393042214215,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,12,8.155624999999999,0.144375,0.043548337067477405,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,12,8.241031249999999,0.18432793332202302,0.036072587012313306,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,13,8.155624999999999,0.144375,0.045873055001720786,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,13,8.241031249999999,0.18432793332202302,0.03219628008082509,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,14,8.155624999999999,0.144375,0.04065756103955209,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,14,8.241031249999999,0.18432793332202302,0.02834946196526289,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,15,8.155624999999999,0.144375,0.06644406693521887,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,RAO*,15,8.241031249999999,0.18432793332202302,0.03796476894058287,142,13,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
5,3,0.2,DARP-HILP,16,8.155624999999999,0.144375,0.04791349696461111,160,9,True,d84d099493b973a63d879255d2221c1930d649aa,543f782d80ceb9555130e911c1fcf7074153d267
